id,x_coord,y_coord,hidrologia,suelo_hidrico,vegetacion_hidrofita,presion_urbana,humedal_real_simulado,nivel_ruido,hidrologia_obs,suelo_hidrico_obs,vegetacion_hidrofita_obs,criterios_reales,criterios_observados
1,77.4,6.21,1,0,1,46.76,1,0.15,1,0,1,2,2
2,43.89,45.83,1,0,1,80.69,0,0.15,1,0,0,2,1
3,85.86,12.9,0,1,1,73.74,0,0.15,0,1,1,2,2
4,69.74,15.23,1,1,1,35.05,1,0.15,1,1,1,3,3
5,9.42,63.23,0,0,1,59.75,0,0.15,0,1,0,1,1
6,97.56,39.29,0,1,1,89.59,1,0.15,0,1,1,2,2
7,76.11,92.19,0,1,1,88.4,0,0.15,0,0,1,2,1
8,78.61,31.92,1,1,1,95.94,1,0.15,1,1,1,3,3
9,12.81,72.62,0,0,1,50.04,1,0.15,0,1,0,1,1
10,45.04,46.11,0,0,1,100.0,0,0.15,0,0,1,1,1
11,37.08,66.0,0,0,1,74.11,0,0.15,1,0,1,1,2
12,92.68,59.97,0,0,1,85.53,0,0.15,1,0,1,1,2
13,64.39,47.28,1,0,0,57.63,0,0.15,1,0,0,1,1
14,82.28,95.01,0,1,1,100.0,0,0.15,0,1,1,2,2
15,44.34,34.27,1,1,1,47.05,1,0.15,1,0,0,3,1
16,22.72,17.72,1,1,1,39.33,1,0.15,1,1,1,3,3
17,55.46,67.81,0,0,1,96.36,0,0.15,0,1,1,1,2
18,6.38,84.6,0,0,0,82.13,0,0.15,1,0,0,0,1
19,82.76,4.03,1,1,0,100.0,0,0.15,1,1,0,2,2
20,63.17,44.96,1,1,1,54.0,1,0.15,1,1,1,3,3
21,75.81,89.25,0,1,1,80.14,0,0.15,0,1,1,2,2
22,35.45,74.96,0,1,1,69.91,0,0.15,1,1,1,2,3
23,97.07,99.18,0,1,1,98.79,0,0.15,0,1,0,2,1
24,89.31,53.14,1,1,0,100.0,0,0.15,0,1,0,2,1
25,77.84,66.0,0,1,0,87.35,0,0.15,1,1,0,1,2
26,19.46,30.25,1,0,0,98.46,0,0.15,1,0,0,1,1
27,46.67,94.75,1,1,1,70.02,1,0.15,1,0,1,3,2
28,4.38,36.63,1,1,1,41.34,1,0.15,1,0,1,3,2
29,15.43,73.85,0,0,1,79.12,0,0.15,0,0,1,1,1
30,68.3,40.31,1,1,0,88.37,1,0.15,1,1,0,2,2
31,74.48,56.18,1,0,1,94.59,1,0.15,1,1,1,2,3
32,96.75,71.98,0,1,1,100.0,0,0.15,0,1,1,2,2
33,32.58,50.89,1,0,1,52.56,1,0.15,1,0,1,2,2
34,37.05,90.71,0,0,1,67.79,0,0.15,0,1,1,1,2
35,46.96,41.93,1,0,1,82.96,0,0.15,1,1,1,2,3
36,18.95,64.71,1,0,1,75.52,1,0.15,1,0,1,2,2
37,12.99,34.24,0,0,1,54.19,1,0.15,0,0,1,1,1
38,47.57,40.82,1,1,0,63.17,1,0.15,1,1,0,2,2
39,22.69,44.01,1,0,1,68.5,0,0.15,1,0,1,2,2
40,66.98,12.58,1,1,0,73.5,0,0.15,1,1,0,2,2
41,43.72,9.17,1,1,1,52.33,1,0.15,1,1,1,3,3
42,83.27,66.75,1,0,1,66.98,1,0.15,1,0,1,2,2
43,70.03,65.55,1,0,1,89.0,1,0.15,1,0,1,2,2
